,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
0,479,327,113,4,4.0,2.77,8.88,1,84.47
1,446,301,92,1,1.85,1.5,7.71,0,45.08
2,336,297,100,1,2.41,1.59,7.89,0,47.42
3,20,303,98,3,3.5,3.0,8.5,0,62.0
4,432,320,94,2,1.38,3.5,8.78,1,73.0
5,112,321,84,4,4.13,4.0,8.68,1,69.0
6,55,306,110,3,3.0,3.5,8.0,0,70.0
7,59,299,112,1,0.97,2.0,6.82,1,40.03
8,123,311,74,4,1.5,0.53,8.36,0,57.0
9,477,298,98,2,2.23,3.73,7.43,0,49.08
10,28,297,112,1,1.52,0.58,7.49,0,
11,99,332,119,4,5.0,4.5,9.24,1,90.0
12,10,276,108,3,4.65,3.0,8.6,0,45.0
13,15,265,109,1,4.6,1.82,7.84,0,47.01
14,139,328,110,2,3.95,3.0,9.15,1,126.0
15,94,301,98,2,2.58,2.64,7.77,0,35.0
16,114,320,110,2,4.0,1.8,8.56,0,72.0
17,305,286,106,2,2.5,2.0,8.43,0,62.0
18,224,272,109,2,3.0,4.0,8.45,0,71.0
19,59,306,101,1,2.41,2.0,9.44,0,39.06
20,83,320,110,5,5.0,4.5,9.22,1,92.0
21,444,293,102,2,2.42,1.74,7.17,0,49.02
22,338,324,74,5,4.19,4.19,8.88,1,87.02
23,416,310,100,3,3.41,2.34,7.76,0,45.93
24,465,298,109,2,2.98,3.56,7.21,0,45.0
25,211,325,107,4,4.5,4.0,9.06,1,79.0
26,443,321,113,4,4.5,4.46,9.16,1,86.5
27,79,311,104,3,2.21,2.78,8.04,0,48.51
28,67,327,105,3,3.0,1.99,9.02,0,61.0
29,86,319,115,4,1.34,0.1,8.66,0,76.0
30,272,299,96,2,1.5,3.39,7.86,0,54.0
31,93,298,98,2,4.0,3.0,8.03,0,34.0
32,63,314,104,3,3.61,3.2,8.4,0,49.51
33,387,302,115,2,3.12,3.5,7.97,0,50.34
34,123,310,93,4,2.44,2.5,8.36,0,57.0
35,468,318,88,5,4.06,5.0,8.78,1,78.0
36,377,293,97,1,0.51,4.96,7.49,0,41.66
37,383,324,97,4,4.47,3.97,9.15,1,82.99
38,28,298,98,2,2.13,2.5,7.5,1,44.0
39,404,302,89,2,2.5,3.05,7.5,0,49.01
40,363,338,115,5,4.45,5.0,9.23,1,91.0
41,18,319,111,3,4.0,3.0,9.65,1,65.0
42,440,296,99,1,3.17,2.22,7.5,0,39.52
43,42,313,106,2,2.5,2.16,8.41,1,51.0
44,23,304,72,5,1.58,5.0,8.14,1,94.0
45,53,334,87,4,4.0,3.0,8.0,1,78.0
46,92,298,114,2,4.39,3.76,7.88,0,36.01
47,335,297,95,1,0.9,4.57,7.88,0,46.18
48,83,320,110,5,5.0,2.87,9.22,1,92.0
49,134,323,112,5,4.07,2.64,8.78,0,79.0
50,160,297,99,1,2.1,2.46,7.7,0,52.5
51,111,295,105,3,2.33,0.59,7.64,0,46.51
52,29,299,99,2,3.19,2.65,8.65,0,46.02
53,379,299,115,2,1.01,2.35,7.59,0,43.62
54,157,269,119,3,2.0,2.5,8.34,0,70.0
55,237,325,114,4,4.0,4.5,9.17,1,85.0
56,160,297,100,1,1.5,2.0,7.9,0,52.0
57,413,307,91,4,2.34,2.0,7.88,1,59.0
58,288,328,107,4,4.0,4.11,9.23,0,89.36
59,49,321,87,3,3.5,5.0,8.85,1,82.0
60,35,331,112,5,1.79,4.44,9.8,1,94.0
61,440,260,105,2,3.55,0.68,8.46,0,66.0
62,375,315,105,2,3.98,2.5,6.45,0,39.0
63,108,338,117,4,3.5,2.92,9.46,1,91.0
64,298,329,114,3,3.28,4.5,9.24,0,87.95
65,498,280,72,5,4.5,5.0,9.56,1,93.0
66,300,305,96,3,4.58,1.12,8.65,0,71.0
67,255,275,94,4,4.0,5.0,8.79,0,127.5
68,255,321,114,4,4.0,5.0,9.12,0,85.0
69,415,321,109,4,3.5,4.0,8.35,1,72.0
70,286,329,115,5,4.16,1.67,6.75,1,90.96
71,1,337,118,4,4.5,1.63,8.51,1,92.0
72,397,325,84,3,3.0,3.5,8.79,1,84.0
73,216,294,116,5,5.0,3.42,9.36,1,93.0
74,329,324,112,4,4.0,3.5,9.35,1,80.0
75,141,329,72,2,4.0,3.0,9.15,1,84.0
76,397,325,107,3,1.5,3.5,9.11,1,84.0
77,41,313,77,1,2.79,3.93,8.08,0,50.63
78,40,299,88,2,3.33,3.05,7.92,0,48.5
79,338,300,78,5,5.0,5.0,9.47,1,94.0
80,447,299,100,2,2.0,2.26,8.55,0,46.52
